상대공항명,IATA,ICAO,기준거리(km),기준년도
웨이팡(유방),WEF,ZSWF,655,2015
위엔저우,WNZ,ZSWZ,"1,181",2014
우한,WUH,ZHHH,"1,349",2014
수조 광푸,WUX,ZSWX,861,2014
하문,XMN,ZSAM,"1,637",2014
시안 셴양(함양),XIY,ZLXY,"1,627",2014
시닝(서녕),XNN,ZLXN,"2,194",2014
연길,YNJ,ZYYJ,653,2014
이창,YIH,ZHYC,"1,577",2016
인촨(은천) 해동,INC,ZLIC,"1,762",2014
이우,YIW,ZSYW,"1,082",2015
정주,CGO,ZHCC,"1,181",2014
쭌이,ZYI,ZUZY,"2,124",2016
클락필드,CRK,RPLC,"2,536",2014
칼리보,KLO,RPVK,"2,886",2014
세부,CEB,RPVM,"3,018",2014
마닐라,MNL,RPLL,"2,599",2014
푸에르토프린세사,PPS,RPVP,"3,166",2018
태그빌라란,TAG,RPSP,"3,090",2017
싱가폴 창이,SIN,WSSS,"4,614",2014
콜롬보,CMB,VCBI,"5,765",2014
카오슝,KHH,RCKH,"1,751",2014
타이페이(치앙 카이),TPE,RCTP,"1,460",2014
치앙마이,CNX,VTCC,"3,381",2014
방콕 돈 무앙,DMK,VTBD,"3,653",2014
끄라비,KBV,VTSG,"4,270",2014
푸켓,HKT,VTSP,"4,313",2014
방콕 수완나품,BKK,VTBS,"3,664",2014
투르크멘바시,KRW,UTAK,"6,181",2015
누쿠스,NCU,UTNN,"5,586",2016
깜란공항(냐짱),CXR,VVCR,"3,304",2014
하이퐁 캇바이,HPH,VVCI,"2,651",2016
푸꼭(푸국),PQC,VVPQ,"3,771",2014
하노이,HAN,VVNB,"2,683",2014
호치민,SGN,VVTS,"3,553",2014
다낭,DAD,VVDN,"2,976",2014
비엔나,VIE,LOWW,"8,269",2014
브뤼셀,BRU,EBBR,"8,700",2014
오스텐 브루즈 공항,OST,EBOS,"8,755",2014
자그레브,ZAG,LDZA,"8,467",2018
자그레브,ZAG,LDZA,"8,467",2014
오스트라바,OSR,LKMT,"8,071",2016
프라하,PRG,LKPR,"8,258",2014
빌룬드,BLL,EKBI,"8,101",2014
코펜하겐 카스트럽,CPH,EKCH,"7,945",2014
헬싱키,HEL,EFHK,"7,051",2014
파리 드골,CDG,LFPG,"8,950",2014
샤터룩스,CHR,LFLX,"9,175",2014
마리내인,MRS,LFML,"9,268",2014
퀼른,CGN,EDDK,"8,573",2014
프랑크푸르트,FRA,EDDF,"8,565",2014
로스토크,RLG,ETNL,"8,059",2015
라이프치히/할레,LEJ,EDDP,"8,270",2014
뮌헨,MUC,EDDM,"8,521",2014
베를린 쇠네펠트,SXF,EDDB,"8,135",2016
부다페스트,BUD,LHBP,"8,158",2016
케프라비크,KEF,BIKF,"8,404",2015
로마 레오나르도 다빈치,FCO,LIRF,"8,987",2014
밀라노 말펜사,MXP,LIMC,"8,898",2014
베니스,VCE,LIPZ,"8,702",2014
베니스,VCE,LIPZ,"8,702",2018
팔레르모,PMO,LICJ,"9,180",2015
투린,TRN,LIMF,"8,991",2016
룩셈부르크,LUX,ELLX,"8,718",2014
암스텔담 스키폴,AMS,EHAM,"8,575",2014
라크셀브,LKL,ENNA,"6,534",2015
바낙,LKL,ENNA,"6,555",2016
오슬로 가더모엔,OSL,ENGM,"7,689",2014
슈체친 골레니우프,SZZ,EPSC,"7,976",2016
바르샤바,WAW,EPWA,"7,746",2014
소치,AER,URSS,"7,026",2014
모스코바 도모데도보,DME,UUDD,"6,598",2014
블라고베시첸스크,BQS,UHBB,"1,442",2014
이르쿠츠크,IKT,UIII,"2,379",2014
예카테린부르크,SVX,USSS,"5,184",2014
크라스노얄스크,KJA,UNKL,"3,267",2014
울란우데,UUD,UIUU,"2,181",2014
니즈네바토브스크,NJC,USNN,"4,319",2016
노보시비르스크,OVB,UNNT,"3,814",2014
하바로프스크,KHV,UHHH,"1,419",2014
오르스크,OSW,UWOR,"5,418",2014
상트페테르부르크 풀코보,LED,ULLI,"6,816",2014
모스코바 세레메티예보,SVO,UUEE,"6,603",2014
블라디보스톡,VVO,UHWW,818,2014
울랴노브스크,ULY,UWLW,"5,974",2014
야쿠츠크,YKS,UEEE,"2,749",2014
페트로파블로브스크,PKC,UHPP,"3,018",2014
사할린,UUS,UHSS,"1,698",2014
마드리드,MAD,LEMD,"9,986",2014
바로셀로나,BCN,LEBL,"9,617",2014
바르셀로나 엘프라트,BCN,LEBL,"9,617",2017
사라고사,ZAZ,LEZG,"9,753",2014
스톡홀룸 알란다,ARN,ESSA,"7,422",2014
쮜리히,ZRH,LSZH,"8,764",2014
이스탄불 아타튀르크,IST,LTFM,"7,957",2014
앙카라,ESB,LTAC,"7,710",2014
호스토멜 국제공항,GML,UKKM,"7,298",2014
에딘버그,EDI,EGPH,"8,621",2016
글래스고,GLA,EGPF,"8,670",2016
런던히드로,LHR,EGLL,"8,884",2014
런던 스텐스테드,STN,EGSS,"8,818",2014
캘거리,YYC,CYYC,"8,565",2014
핼리팩스,YHZ,CYHZ,"10,831",2014
토론토,YYZ,CYYZ,"10,643",2014
밴쿠버,YVR,CYVR,"8,222",2014
신시내티 켄터기,CVG,KCVG,"10,956",2014
달라스 포트워스,DFW,KDFW,"11,011",2014
디트로이트 웨인,DTW,KDTW,"10,680",2014
덜루스,DLH,KDLH,"9,877",2015
휴스톤,IAH,KIAH,"11,368",2014
아틀란타,ATL,KATL,"11,512",2014
호놀룰루,HNL,PHNL,"7,366",2014
